TTI[1784] - trigger[34 , 191]
TTI[1798] - trigger[41 , 78 ]
TTI[1800] - trigger[18 , 119]
TTI[1800] - trigger[215, 187]
TTI[1801] - trigger[218, 141]
TTI[1805] - trigger[192, 136]
TTI[1810] - trigger[219, 41 ]
TTI[1811] - trigger[104, 42 ]
TTI[1825] - trigger[67 , 99 ]
TTI[1843] - trigger[135, 179]
TTI[1850] - trigger[26 , 123]
TTI[1858] - trigger[91 , 178]
TTI[1863] - trigger[174, 224]
TTI[1868] - trigger[172, 22 ]
TTI[1878] - trigger[61 , 53 ]
TTI[1882] - trigger[43 , 207]
TTI[1882] - trigger[156, 71 ]
TTI[1901] - trigger[115, 143]
TTI[1902] - trigger[86 , 114]
TTI[1907] - trigger[7  , 0  ]
TTI[1909] - trigger[105, 47 ]
TTI[1910] - trigger[104, 50 ]
TTI[1912] - trigger[114, 148]
TTI[1914] - trigger[32 , 197]
TTI[1915] - trigger[224, 177]
TTI[1916] - trigger[174, 132]
TTI[1918] - trigger[130, 169]
TTI[1919] - trigger[11 , 226]
TTI[1923] - trigger[221, 65 ]
TTI[1924] - trigger[177, 14 ]
TTI[1926] - trigger[168, 198]
TTI[1933] - trigger[153, 31 ]
TTI[1935] - trigger[33 , 181]
TTI[1945] - trigger[113, 87 ]
TTI[1949] - trigger[53 , 20 ]
TTI[1953] - trigger[157, 204]
TTI[1962] - trigger[63 , 161]
TTI[1966] - trigger[166, 26 ]
TTI[1970] - trigger[24 , 219]
TTI[1971] - trigger[76 , 135]
TTI[1973] - trigger[90 , 202]
TTI[1977] - trigger[45 , 180]
TTI[1980] - trigger[23 , 76 ]
TTI[1980] - trigger[219, 3  ]
TTI[1983] - trigger[99 , 65 ]
TTI[1990] - trigger[205, 121]
TTI[1994] - trigger[221, 52 ]
TTI[2001] - trigger[143, 96 ]
TTI[2010] - trigger[102, 195]
TTI[2014] - trigger[139, 14 ]
TTI[2016] - trigger[136, 19 ]
TTI[2023] - trigger[122, 68 ]
TTI[2044] - trigger[72 , 215]
TTI[2058] - trigger[52 , 88 ]
TTI[2061] - trigger[178, 106]
TTI[2063] - trigger[104, 72 ]
TTI[2063] - trigger[225, 79 ]
TTI[2065] - trigger[44 , 169]
TTI[2067] - trigger[33 , 0  ]
TTI[2074] - trigger[216, 78 ]
TTI[2081] - trigger[120, 84 ]
TTI[2083] - trigger[220, 102]
TTI[2085] - trigger[99 , 91 ]
TTI[2088] - trigger[26 , 96 ]
TTI[2089] - trigger[31 , 208]
TTI[2095] - trigger[210, 153]
TTI[2096] - trigger[9  , 97 ]
TTI[2100] - trigger[74 , 203]
TTI[2105] - trigger[53 , 13 ]
TTI[2112] - trigger[19 , 187]
TTI[2113] - trigger[169, 90 ]
TTI[2116] - trigger[118, 203]
TTI[2123] - trigger[217, 162]
TTI[2124] - trigger[98 , 69 ]
TTI[2125] - trigger[107, 48 ]
TTI[2136] - trigger[193, 90 ]
TTI[2141] - trigger[153, 215]
TTI[2151] - trigger[110, 17 ]
TTI[2151] - trigger[120, 6  ]
TTI[2151] - trigger[135, 212]
TTI[2152] - trigger[90 , 68 ]
TTI[2164] - trigger[33 , 3  ]
TTI[2167] - trigger[217, 218]
TTI[2171] - trigger[41 , 83 ]
TTI[2176] - trigger[45 , 53 ]
TTI[2176] - trigger[177, 105]
TTI[2188] - trigger[62 , 195]
TTI[2188] - trigger[183, 140]
TTI[2189] - trigger[180, 30 ]
TTI[2191] - trigger[189, 194]
TTI[2196] - trigger[52 , 119]
TTI[2197] - trigger[214, 144]
TTI[2199] - trigger[62 , 185]
TTI[2204] - trigger[93 , 165]
TTI[2204] - trigger[94 , 71 ]
TTI[2206] - trigger[41 , 137]
TTI[2213] - trigger[40 , 120]
TTI[2217] - trigger[136, 168]
TTI[2220] - trigger[145, 79 ]
TTI[2230] - trigger[193, 78 ]
TTI[2232] - trigger[196, 82 ]
TTI[2236] - trigger[57 , 28 ]
TTI[2240] - trigger[15 , 174]
TTI[2246] - trigger[89 , 117]
TTI[2247] - trigger[208, 1  ]
TTI[2253] - trigger[204, 217]
TTI[2261] - trigger[80 , 84 ]
TTI[2265] - trigger[33 , 102]
TTI[2273] - trigger[59 , 164]
TTI[2279] - trigger[185, 26 ]
TTI[2287] - trigger[53 , 5  ]
TTI[2294] - trigger[105, 38 ]
TTI[2310] - trigger[225, 164]
TTI[2313] - trigger[18 , 185]
TTI[2314] - trigger[217, 116]
TTI[2316] - trigger[27 , 153]
TTI[2326] - trigger[48 , 189]
